id	resistance	AMI	PAS	EMB	FLQ	INH	SM	RIF	ETH	PZA
Rv0846c	no	no	no	no	no	no	no	no	no	no
Rv0203	no	no	no	no	no	no	no	no	no	no
Rv3035	no	no	no	no	no	no	no	no	no	no
Rv0678	no	no	no	no	no	no	no	no	no	no
Rv0192	no	no	no	no	no	no	no	no	no	no
Rv0483	no	no	no	no	no	no	no	no	no	no
Rv1433	no	no	no	no	no	no	no	no	no	no
Rv1804c	no	no	no	no	no	no	no	no	no	no
Rv3067	no	no	no	no	no	no	no	no	no	no
Rv1267c	yes	no	no	yes	no	no	no	no	no	no
Rv3124	yes	no	no	yes	no	no	no	no	no	no
Rv2764c	yes	no	yes	no	no	no	no	no	no	no
Rv0005	yes	no	no	no	yes	no	no	no	no	no
Rv0006	yes	no	no	no	yes	no	no	no	no	no
Rv2846c	yes	no	no	no	no	yes	no	no	no	no
Rv3919c	yes	no	no	no	no	no	yes	no	no	no
Rv0667	yes	no	no	no	no	no	no	yes	no	no
Rv0682	yes	no	no	no	no	no	yes	no	no	no
Rv3125c	yes	no	no	yes	no	no	no	no	no	no
Rv1694	yes	yes	no	no	no	no	no	no	no	no
Rv0343	yes	no	no	yes	no	yes	no	no	no	no
Rv0341	yes	no	no	yes	no	yes	no	no	no	no
Rv0342	yes	no	no	yes	no	yes	no	no	no	no
Rv3566c	yes	no	no	no	no	yes	no	no	no	no
Rv1854c	yes	no	no	no	no	yes	no	no	no	no
Rv1592c	yes	no	no	no	no	yes	no	no	no	no
Rv1909c	yes	no	no	no	no	yes	no	no	no	no
Rv3854c	yes	no	no	no	no	no	no	no	yes	no
Rv3793	yes	no	no	yes	no	no	no	no	no	no
Rv3795	yes	no	no	yes	no	yes	no	yes	no	no
Rv2242	yes	no	no	no	no	yes	no	no	no	no
Rv3139	yes	no	no	no	no	yes	no	no	no	no
Rv0129c	yes	no	no	no	no	yes	no	no	no	no
Rv0340	yes	no	no	yes	no	yes	no	no	no	no
Rv1483	yes	no	no	no	no	yes	no	no	yes	no
Rv1484	yes	no	no	no	no	yes	no	no	yes	no
Rv1772	yes	no	no	no	no	yes	no	no	no	no
Rv1908c	yes	no	no	no	no	yes	no	no	no	no
Rv2043c	yes	no	no	no	no	no	no	no	no	yes
Rv2243	yes	no	no	no	no	yes	no	no	no	no
Rv2245	yes	no	no	no	no	yes	no	no	no	no
Rv2247	yes	no	no	no	no	yes	no	no	no	no
Rv2428	yes	no	no	no	no	yes	no	no	no	no
Rv3264c	yes	no	no	yes	no	no	no	no	no	no
Rv3266c	yes	no	no	yes	no	no	no	no	no	no
Rv3794	yes	no	no	yes	no	no	no	no	no	no
