id	resistance	AMI	PAS	EMB	FLQ	INH	SM	RIF	ETH	PZA
Rv0846c	no	no	no	no	no	no	no	no	no	no
Rv0203	no	no	no	no	no	no	no	no	no	no
Rv3035	no	no	no	no	no	no	no	no	no	no
Rv0678	no	no	no	no	no	no	no	no	no	no
Rv0192	no	no	no	no	no	no	no	no	no	no
Rv0483	no	no	no	no	no	no	no	no	no	no
Rv1433	no	no	no	no	no	no	no	no	no	no
Rv1804c	no	no	no	no	no	no	no	no	no	no
Rv3067	no	no	no	no	no	no	no	no	no	no
Rv2386a	no	no	no	no	no	no	no	no	no	no
Rv2963	no	no	no	no	no	no	no	no	no	no
Rv0359	no	no	no	no	no	no	no	no	no	no
Rv0229c	no	no	no	no	no	no	no	no	no	no
Rv0301	no	no	no	no	no	no	no	no	no	no
Rv2546	no	no	no	no	no	no	no	no	no	no
Rv2757c	no	no	no	no	no	no	no	no	no	no
Rv2464c	no	no	no	no	no	no	no	no	no	no
Rv1222	no	no	no	no	no	no	no	no	no	no
Rv0016c	no	no	no	no	no	no	no	no	no	no
Rv2163c	no	no	no	no	no	no	no	no	no	no
Rv2864c	no	no	no	no	no	no	no	no	no	no
Rv0045c	no	no	no	no	no	no	no	no	no	no
Rv2715	no	no	no	no	no	no	no	no	no	no
Rv3203	no	no	no	no	no	no	no	no	no	no
Rv0182c	no	no	no	no	no	no	no	no	no	no
Rv1189	no	no	no	no	no	no	no	no	no	no
Rv3328c	no	no	no	no	no	no	no	no	no	no
Rv0938	no	no	no	no	no	no	no	no	no	no
Rv3749c	no	no	no	no	no	no	no	no	no	no
Rv1205	no	no	no	no	no	no	no	no	no	no
Rv0998	no	no	no	no	no	no	no	no	no	no
Rv0035	no	no	no	no	no	no	no	no	no	no
Rv0099	no	no	no	no	no	no	no	no	no	no
Rv0119	no	no	no	no	no	no	no	no	no	no
Rv0166	no	no	no	no	no	no	no	no	no	no
Rv0270	no	no	no	no	no	no	no	no	no	no
Rv0404	no	no	no	no	no	no	no	no	no	no
Rv0551c	no	no	no	no	no	no	no	no	no	no
Rv1013	no	no	no	no	no	no	no	no	no	no
Rv1058	no	no	no	no	no	no	no	no	no	no
Rv1185c	no	no	no	no	no	no	no	no	no	no
Rv1193	no	no	no	no	no	no	no	no	no	no
Rv1427c	no	no	no	no	no	no	no	no	no	no
Rv1521	no	no	no	no	no	no	no	no	no	no
Rv1529	no	no	no	no	no	no	no	no	no	no
Rv1550	no	no	no	no	no	no	no	no	no	no
Rv1925	no	no	no	no	no	no	no	no	no	no
Rv2505c	no	no	no	no	no	no	no	no	no	no
Rv2930	no	no	no	no	no	no	no	no	no	no
Rv2941	no	no	no	no	no	no	no	no	no	no
Rv2948c	no	no	no	no	no	no	no	no	no	no
Rv2950c	no	no	no	no	no	no	no	no	no	no
Rv3089	no	no	no	no	no	no	no	no	no	no
Rv3561	no	no	no	no	no	no	no	no	no	no
Rv3826	no	no	no	no	no	no	no	no	no	no
Rv0073	no	no	no	no	no	no	no	no	no	no
Rv0194	no	no	no	no	no	no	no	no	no	no
Rv0655	no	no	no	no	no	no	no	no	no	no
Rv0820	no	no	no	no	no	no	no	no	no	no
Rv0933	no	no	no	no	no	no	no	no	no	no
Rv0986	no	no	no	no	no	no	no	no	no	no
Rv1218c	no	no	no	no	no	no	no	no	no	no
Rv1238	no	no	no	no	no	no	no	no	no	no
Rv1272c	no	no	no	no	no	no	no	no	no	no
Rv1273c	no	no	no	no	no	no	no	no	no	no
Rv1281c	no	no	no	no	no	no	no	no	no	no
Rv1458c	no	no	no	no	no	no	no	no	no	no
Rv1473	no	no	no	no	no	no	no	no	no	no
Rv1621c	no	no	no	no	no	no	no	no	no	no
Rv1687c	no	no	no	no	no	no	no	no	no	no
Rv1747	no	no	no	no	no	no	no	no	no	no
Rv1859	no	no	no	no	no	no	no	no	no	no
Rv2038c	no	no	no	no	no	no	no	no	no	no
Rv2326c	no	no	no	no	no	no	no	no	no	no
Rv2397c	no	no	no	no	no	no	no	no	no	no
Rv2477c	no	no	no	no	no	no	no	no	no	no
Rv2564	no	no	no	no	no	no	no	no	no	no
Rv2688c	no	no	no	no	no	no	no	no	no	no
Rv2832c	no	no	no	no	no	no	no	no	no	no
Rv2936	no	no	no	no	no	no	no	no	no	no
Rv3041c	no	no	no	no	no	no	no	no	no	no
Rv3102c	no	no	no	no	no	no	no	no	no	no
Rv3663c	no	no	no	no	no	no	no	no	no	no
Rv3758c	no	no	no	no	no	no	no	no	no	no
Rv1267c	yes	no	no	yes	no	no	no	no	no	no
Rv3124	yes	no	no	yes	no	no	no	no	no	no
Rv1937	no	no	no	no	no	no	no	no	no	no
Rv3254	no	no	no	no	no	no	no	no	no	no
Rv0021c	no	no	no	no	no	no	no	no	no	no
Rv1533	no	no	no	no	no	no	no	no	no	no
Rv1894c	no	no	no	no	no	no	no	no	no	no
Rv3553	no	no	no	no	no	no	no	no	no	no
Rv0118c	no	no	no	no	no	no	no	no	no	no
Rv0853c	no	no	no	no	no	no	no	no	no	no
Rv3479	no	no	no	no	no	no	no	no	no	no
Rv3486	no	no	no	no	no	no	no	no	no	no
Rv0217c	no	no	no	no	no	no	no	no	no	no
Rv1399c	no	no	no	no	no	no	no	no	no	no
Rv1400c	no	no	no	no	no	no	no	no	no	no
Rv2970c	no	no	no	no	no	no	no	no	no	no
Rv3084	no	no	no	no	no	no	no	no	no	no
Rv0525	no	no	no	no	no	no	no	no	no	no
Rv1155	no	no	no	no	no	no	no	no	no	no
Rv0465c	no	no	no	no	no	no	no	no	no	no
Rv1129c	no	no	no	no	no	no	no	no	no	no
Rv0669c	no	no	no	no	no	no	no	no	no	no
Rv0664	no	no	no	no	no	no	no	no	no	no
Rv0662c	no	no	no	no	no	no	no	no	no	no
Rv0660c	no	no	no	no	no	no	no	no	no	no
Rv0299	no	no	no	no	no	no	no	no	no	no
Rv0300	no	no	no	no	no	no	no	no	no	no
Rv0190	no	no	no	no	no	no	no	no	no	no
Rv0967	no	no	no	no	no	no	no	no	no	no
Rv1766	no	no	no	no	no	no	no	no	no	no
Rv1916	no	no	no	no	no	no	no	no	no	no
Rv1915	no	no	no	no	no	no	no	no	no	no
Rv1895	no	no	no	no	no	no	no	no	no	no
Rv2259	no	no	no	no	no	no	no	no	no	no
Rv3086	no	no	no	no	no	no	no	no	no	no
Rv3726	no	no	no	no	no	no	no	no	no	no
Rv0867c	no	no	no	no	no	no	no	no	no	no
Rv1009	no	no	no	no	no	no	no	no	no	no
Rv1884c	no	no	no	no	no	no	no	no	no	no
Rv2389c	no	no	no	no	no	no	no	no	no	no
Rv2450c	no	no	no	no	no	no	no	no	no	no
Rv0491	no	no	no	no	no	no	no	no	no	no
Rv0602c	no	no	no	no	no	no	no	no	no	no
Rv0818	no	no	no	no	no	no	no	no	no	no
Rv0903c	no	no	no	no	no	no	no	no	no	no
Rv0981	no	no	no	no	no	no	no	no	no	no
Rv1027c	no	no	no	no	no	no	no	no	no	no
Rv1033c	no	no	no	no	no	no	no	no	no	no
Rv2884	no	no	no	no	no	no	no	no	no	no
Rv3246c	no	no	no	no	no	no	no	no	no	no
Rv3765c	no	no	no	no	no	no	no	no	no	no
Rv0601c	no	no	no	no	no	no	no	no	no	no
Rv0982	no	no	no	no	no	no	no	no	no	no
Rv0600c	no	no	no	no	no	no	no	no	no	no
Rv0599c	no	no	no	no	no	no	no	no	no	no
Rv0595c	no	no	no	no	no	no	no	no	no	no
Rv0627	no	no	no	no	no	no	no	no	no	no
Rv0665	no	no	no	no	no	no	no	no	no	no
Rv0151c	no	no	no	no	no	no	no	no	no	no
Rv0152c	no	no	no	no	no	no	no	no	no	no
Rv0159c	no	no	no	no	no	no	no	no	no	no
Rv0160c	no	no	no	no	no	no	no	no	no	no
Rv1184c	no	no	no	no	no	no	no	no	no	no
Rv1430	no	no	no	no	no	no	no	no	no	no
Rv1800	no	no	no	no	no	no	no	no	no	no
Rv2608	no	no	no	no	no	no	no	no	no	no
Rv3539	no	no	no	no	no	no	no	no	no	no
Rv3822	no	no	no	no	no	no	no	no	no	no
Rv1517	no	no	no	no	no	no	no	no	no	no
Rv3821	no	no	no	no	no	no	no	no	no	no
Rv2124c	no	no	no	no	no	no	no	no	no	no
Rv2740	no	no	no	no	no	no	no	no	no	no
Rv2747	no	no	no	no	no	no	no	no	no	no
Rv2090	no	no	no	no	no	no	no	no	no	no
Rv2859c	no	no	no	no	no	no	no	no	no	no
Rv1247c	no	no	no	no	no	no	no	no	no	no
Rv2865	no	no	no	no	no	no	no	no	no	no
Rv1246c	no	no	no	no	no	no	no	no	no	no
Rv2866	no	no	no	no	no	no	no	no	no	no
Rv1962c	no	no	no	no	no	no	no	no	no	no
Rv3384c	no	no	no	no	no	no	no	no	no	no
Rv3408	no	no	no	no	no	no	no	no	no	no
Rv1241	no	no	no	no	no	no	no	no	no	no
Rv2871	no	no	no	no	no	no	no	no	no	no
Rv1459c	no	no	no	no	no	no	no	no	no	no
Rv2174	no	no	no	no	no	no	no	no	no	no
Rv0024	no	no	no	no	no	no	no	no	no	no
Rv1477	no	no	no	no	no	no	no	no	no	no
Rv1478	no	no	no	no	no	no	no	no	no	no
Rv1566c	no	no	no	no	no	no	no	no	no	no
Rv2190c	no	no	no	no	no	no	no	no	no	no
Rv2449c	no	no	no	no	no	no	no	no	no	no
Rv2454c	no	no	no	no	no	no	no	no	no	no
Rv2455c	no	no	no	no	no	no	no	no	no	no
Rv2286c	no	no	no	no	no	no	no	no	no	no
Rv2466c	no	no	no	no	no	no	no	no	no	no
Rv2476c	no	no	no	no	no	no	no	no	no	no
Rv0617	no	no	no	no	no	no	no	no	no	no
Rv2494	no	no	no	no	no	no	no	no	no	no
Rv2530c	no	no	no	no	no	no	no	no	no	no
Rv3320c	no	no	no	no	no	no	no	no	no	no
